TIMESTAMP,NDVI,EVI,IRECI,P_ID
2017-06-16,0.8956083,0.659886,1.0303428,40257804
2017-06-17,0.8910894,0.6606912,1.0232176,40257804
2017-06-18,0.8865704,0.66149646,1.0160922,40257804
2017-06-19,0.8853543,0.6613133,1.0161262,40257804
2017-06-20,0.88413817,0.6611301,1.01616,40257804
2017-06-21,0.88292205,0.6609469,1.016194,40257804
2017-06-22,0.88170594,0.66076374,1.0162278,40257804
2017-06-23,0.8804898,0.6605806,1.0162618,40257804
2017-06-24,0.8792737,0.66039735,1.0162957,40257804
2017-06-25,0.8780576,0.6602142,1.0163296,40257804
2017-06-26,0.8688083,0.6730839,1.000441,40257804
2017-06-27,0.8595591,0.6859536,0.9845522,40257804
2017-06-28,0.85030985,0.69882333,0.96866345,40257804
2017-06-29,0.8410606,0.7116931,0.95277476,40257804
2017-06-30,0.8318113,0.7245628,0.936886,40257804
2017-07-01,0.8225621,0.73743254,0.9209973,40257804
2017-07-02,0.8133128,0.75030226,0.9051086,40257804
2017-07-03,0.80880314,0.7448643,0.8866449,40257804
2017-07-04,0.8042934,0.7394263,0.8681812,40257804
2017-07-05,0.7997837,0.73398834,0.84971756,40257804
2017-07-06,0.795274,0.7285503,0.8312539,40257804
2017-07-07,0.79076433,0.72311234,0.8127902,40257804
2017-07-08,0.7862546,0.7176744,0.79432654,40257804
2017-07-09,0.7817449,0.7122364,0.7758629,40257804
2017-07-10,0.78738844,0.7022316,0.7792773,40257804
2017-07-11,0.79303193,0.69222677,0.7826917,40257804
2017-07-12,0.7986755,0.68222195,0.78610617,40257804
2017-07-13,0.804319,0.6722171,0.7895206,40257804
2017-07-14,0.8099626,0.66221225,0.7929351,40257804
2017-07-15,0.81560606,0.65220743,0.79634947,40257804
2017-07-16,0.8212496,0.6422026,0.7997639,40257804
2017-07-17,0.82834005,0.6234973,0.80715907,40257804
2017-07-18,0.8354305,0.60479206,0.8145542,40257804
2017-07-19,0.84252095,0.58608675,0.82194936,40257804
2017-07-20,0.84961134,0.5673815,0.8293446,40257804
2017-07-21,0.8567018,0.5486762,0.8367397,40257804
2017-07-22,0.86379224,0.52997094,0.84413487,40257804
2017-07-23,0.8708827,0.51126564,0.85153,40257804
2017-07-24,0.8669538,0.5159812,0.8426828,40257804
2017-07-25,0.86302483,0.5206967,0.8338355,40257804
2017-07-26,0.85909593,0.52541226,0.82498825,40257804
2017-07-27,0.85516703,0.5301278,0.81614095,40257804
2017-07-28,0.85123813,0.5348434,0.8072937,40257804
2017-07-29,0.8473092,0.5395589,0.7984464,40257804
2017-07-30,0.8433803,0.54427445,0.7895992,40257804
2017-07-31,0.83922595,0.5415157,0.773924,40257804
2017-08-01,0.8350717,0.53875697,0.75824887,40257804
2017-08-02,0.83091736,0.5359982,0.7425737,40257804
2017-08-03,0.8267631,0.53323954,0.72689855,40257804
2017-08-04,0.82260877,0.5304808,0.71122336,40257804
2017-08-05,0.8184545,0.52772206,0.69554824,40257804
2017-08-06,0.8143002,0.5249633,0.67987305,40257804
2017-08-07,0.8156099,0.5222355,0.67720866,40257804
2017-08-08,0.81691957,0.5195077,0.67454433,40257804
2017-08-09,0.81822926,0.5167799,0.67187995,40257804
2017-08-10,0.81953895,0.51405203,0.6692156,40257804
2017-08-11,0.82084864,0.5113242,0.66655123,40257804
2017-08-12,0.82215834,0.5085964,0.6638869,40257804
2017-08-13,0.823468,0.5058686,0.6612225,40257804
2017-08-14,0.82211214,0.50078267,0.65902126,40257804
2017-08-15,0.8207562,0.4956967,0.65682,40257804
2017-08-16,0.8194003,0.49061075,0.65461874,40257804
2017-08-17,0.81804436,0.48552477,0.65241754,40257804
2017-08-18,0.8166885,0.48043883,0.6502163,40257804
2017-08-19,0.81533253,0.47535285,0.648015,40257804
2017-08-20,0.81397665,0.4702669,0.64581376,40257804
2017-08-21,0.8126295,0.4710215,0.6445555,40257804
2017-08-22,0.81128246,0.47177613,0.6432972,40257804
2017-08-23,0.80993533,0.47253072,0.64203894,40257804
2017-08-24,0.8085882,0.47328535,0.6407807,40257804
