P_ID,TIMESTAMP,NDVI,EVI,IRECI
40257804,2021-03-21,0.37622684,0.2023302,0.09594728
40257804,2021-03-26,0.42577985,0.21440469,0.08282391
40257804,2021-03-31,0.40095904,0.19798192,0.09100294
40257804,2021-04-05,0.44960976,0.2515281,0.10993274
40257804,2021-04-25,0.44927534,0.25117034,0.12622619
40257804,2021-04-30,0.48893806,0.1872802,0.113837294
40257804,2021-05-05,0.6385647,0.6061477,0.4387109
40257804,2021-05-10,0.7670858,0.5242704,0.46049878
40257804,2021-05-20,0.7735849,0.73985195,0.7598527
40257804,2021-06-04,0.84051335,0.7066621,0.9710089
40257804,2021-06-09,0.8763066,0.75443393,1.164851
40257804,2021-06-14,0.9079174,0.77986395,1.3330926
40257804,2021-06-19,0.85200846,0.7279624,1.190166
40257804,2021-06-24,0.8396947,0.7034572,1.1076531
40257804,2021-06-29,0.87302995,0.7061041,1.1760993
40257804,2021-07-09,0.8916106,0.74225795,1.2550677
40257804,2021-07-14,0.881377,0.79995483,1.2601911
40257804,2021-07-19,0.8726449,0.677066,1.116845
40257804,2021-07-24,0.7988531,0.7326644,0.9556144
40257804,2021-07-29,0.88377243,0.6712928,1.0549182
40257804,2021-08-03,0.8489194,0.83502203,1.1962701
40257804,2021-08-18,0.8828991,0.64151573,0.9990979
40257804,2021-09-02,0.9027144,0.6393955,0.85069895
40257804,2021-09-07,0.88179916,0.631508,0.8646349
40257804,2021-09-12,0.8748944,0.6064927,0.7622962
40257804,2021-10-17,0.7517917,0.37786287,0.2965313
40257804,2021-10-27,0.61354166,0.2311617,0.11199765
40257804,2021-11-11,0.48590165,0.16466668,0.08423048
40262355,2017-01-01,0.5840387,0.1857835,0.12124
40262355,2017-01-11,0.49460042,0.1809633,0.11154491
40262355,2017-02-20,0.37505326,0.17897049,0.10037783
40262355,2017-03-12,0.45047376,0.19596088,0.11709132
40262355,2017-04-01,0.41545528,0.2015366,0.1316762
40262355,2017-04-21,0.73179525,0.38312006,0.3609331
40262355,2017-05-21,0.87281996,0.5748569,0.9114384
40262355,2017-05-31,0.8419406,0.5553453,0.96334416
40262355,2017-06-10,0.8825946,0.55935854,1.1451899
40262355,2017-06-20,0.82183754,0.5588258,0.91713524
40262355,2017-07-05,0.8150754,0.639716,0.9908824
40262355,2017-07-10,0.6883652,0.45089713,0.69134176
40262355,2017-07-15,0.8276243,0.5962189,0.9256878
40262355,2017-07-20,0.80859494,0.52447414,0.7532939
40262355,2017-07-25,0.85625005,0.56022304,0.8978267
40262355,2017-08-04,0.79629076,0.5107653,0.70132583
40262355,2017-08-09,0.7880434,0.4960279,0.7045423
40262355,2017-08-24,0.81207216,0.5150367,0.71442795
40262355,2017-08-29,0.84845644,0.5224855,0.7725816
40262355,2017-09-28,0.8213257,0.397759,0.50162727
40262355,2017-10-08,0.69936305,0.43841085,0.34005108
40262355,2017-10-13,0.6141215,0.282456,0.19228213
40262355,2017-10-18,0.57863754,0.25820014,0.15338711
40262355,2018-01-21,0.6049689,0.18457456,0.13708217
40262355,2018-04-06,0.45317614,0.23607275,0.14331335
40262355,2018-04-21,0.71692306,0.41037184,0.39695573
40262355,2018-05-31,0.8025341,0.6090128,1.0091476
40262355,2018-06-10,0.8404015,0.6178967,1.102849
40262355,2018-06-20,0.83681685,0.59751135,1.1681148
